mnv_stnup,Stand Up,NA,1,Utility,,,,,,Move Action,,,,,,,,"You stop being Prone, and you are Hindered this turn. Move 1",,,,"Hindered. No longer Prone, Move 1."
mnv_run,Run,NA,1,Utility,,,,,,Standard Action,,,,,,,,"Move your Speed +4. You are Dazed until the start of your next turn.",,,,"Move Speed+4, and Dazed until next turn."
# Advanced Move Maneuvers
mnv_climb,Climb,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,Climb 1.,,,,Climb 1.
mnv_swim,Swim,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,Swim 1. ,,,,Swim 1.
mnv_crawl,Crawl,,Advanced,,,Advanced,,,,Move Action,,,,,,,,Crawl 1. ,,,,Crawl 1.
mnv_blnce,Balance,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,Move 1 over narrow or slippery terrain.,,,,Move 1 over narrow/slippery terrain.
mnv_lnjmp,Long Jump,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Move half your Speed. If you are 2 or more squares away from your starting position, Long Jump 2.",,,,"Move Speed/2, Long Jump 2"
mnv_hijmp,High Jump,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Move half your Speed. If you are 2 or more squares away from your starting position, High Jump 1.",,,,"Move Speed/2, High Jump 1"
mnv_drop,Drop,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Move 1. If you fall during this movement, treat the fall if the fall distance was 1 less. You can choose to become Prone",,,,"Move 1, fall as if from 1 less square, you may drop Prone."
# Advanced Stealth Maneuvers
mnv_hide,Hide,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Move 1. If you are in Cover (other than Body Cover) or Concealment from all enemies, you become Shrouded. If you were already Shrouded, you become Hidden instead.",,,,"Move 1. If in Cover/Concealment, become Shrouded/Hidden"
mnv_vansh,Vanish,NA,1,Utility,,Advanced,,,,Standard Action,,,,,,,,"Move 1. If you are in Superior Cover or Superior Concealment from all enemies, you become Hidden. ",,,,"Move 1. If in Superior Cover/Concealment, become Hidden"
mnv_sneak,Sneak,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Special: Use only while Shrouded or Hidden. Effect: Move half your Speed. If you are in Cover (other than Body Cover) or Concealment from all enemies, you remain Shrouded or Hidden.",,,,"Move Speed/2, remain Shrouded/Hidden"
mnv_serch,Search,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Move 1. All Hidden enemies within 2 squares of you become Shrouded instead.",,,,"Move 1. Hidden enemies within 2 become Shrouded instead."
# Advanced Miscellaneous Maneuvers
mnv_escpe,Escape,NA,1,Utility,,Advanced,,,,Move Action,,,,,,,,"Use only while Grabbed. Roll a Save to stop being Grabbed by one enemy.",,,,Roll save to stop being Grabbed by an enemy."
mnv_ftaid,First Aid,NA,1,Utility,,Advanced,,,,Standard Action,,Melee,targets a Dying ally,,,,,The target is no longer Dying.,,,,"Melee, targets a Dying ally. No longer Dying."
mnv_adpot,Administer Potion,NA,1,Utility,,Advanced,,,,Standard Action,,Melee,targets an ally,,,,,"The target uses a Potion carried or held by you or the target.",,,,"Melee, targets an ally. Use Potion on target."
mnv_rdyrn,Ready Attack,,Advanced,,,Advanced,,,,Standard Action,,,,,,,,"Until next turn, you gain the following Secondary Attack, and prepare it as a Reaction.",,"Prepared Reaction (Trigger: ...",,,,,,,,,,,,,,,,,,,,,,,

