power_id,Name,isFeature,Level,Type,UsageLimit,UsageNumber,Keywords,Action,Trigger,Range,Target,AttackRoll,EffectPre,Hit,Miss,EffectPost,Misc,SecondaryAttack,Upgrades,Summary
wiz_da_icestm,Ice Storm,NA,1,Attack,Daily,NA,"Implement, Arcane",NA,NA,Area 10 Burst 2,NA,Int vs For,NA,"2d6 Cold, and Prone",Half Damage,Create a Zone of Difficult Terrain in burst until end of your next turn.,Sustain Minor: Int Cold to creatures in the zone. You can move the zone 1 square. Sustain the zone until end of your next turn.,NA,"Upgrade 15: Increase Hit damage to 4d6<br>Upgrade 25: Increase Hit damage to 6d6",NA
wiz_da_crufst,Crushing Fist,NA,1,Attack,Daily,NA,"Implement, Arcane",NA,NA,Ranged 20,NA,Int vs Ref,NA,"3d6, and Grabbed until end of next turn.",NA,NA,Sustain Minor: Repeat the attack,NA,"Upgrade 15: Increase Hit damage to 6d6,<br>Upgrade 25: Increase Hit damage to 9d6",NA
wiz_ut_arcsld,Arcane Shield,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,Gain Superior Cover against the next attack that targets you this encounter.,NA,NA,NA,NA
wiz_ut_wllice,Wall of Ice,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Area 10 Wall 8,NA,NA,NA,NA,NA,Create a Zone of Very Difficult Terrain and Covering Terrain in the wall until the end of the encounter. You can dismiss the Zone as a Minor Action.,NA,NA,NA,NA
wiz_ut_levita,Levitate,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, gain Fly Speed 2 (Altitude 2).",NA,NA,NA,NA
rog_aw_prcstk,Piercing Strike,NA,1,Attack,NA,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,"Dex vs Ref, +2 if adjacent to the target.",NA,1W+Dex,NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Dex,NA
rog_aw_stpstk,Setup Strike,NA,1,Attack,NA,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Arm,Shift 1,1W+Dex,NA,"Until end of your next turn, your attacks against the target have Advantage.",NA,NA,Level 21: Increase Hit damage to 2W+Dex,NA
rog_en_kngcsl,King's Castle,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Wil,"Before or after the attack, choose an adjacent creature. You and that creature Slide to switch places.",2W+Dex,NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex<br>Upgrade 23: Increase Hit damage to 4W+Dex",NA
rog_en_expwkn,Expose Weakness,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Arm,"Until end of your next turn, your attacks against the target have Advantage or, if you already have Advantage, gain +Cha Crit Range.","2W+Dex. Dex and, if you have Advantage, Dazed until end of your next turn.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex<br>Upgrade 23: Increase Hit damage to 4W+Dex",NA
rog_en_stydwn,Stay Down,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Arm,NA,"2W+Dex, and Prone. If you have Advantage, provokes Opportunity Attacks when standing up next turn.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex<br>Upgrade 23: Increase Hit damage to 4W+Dex",NA
rog_da_blitrk,Blinding Trick,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs For,NA,Blinded (save ends),Miss: Grants Advantage (save ends),Make a Secondary Attack against the target.,NA,"Dex vs Arm<br>Hit: 3W+Dex, and -2xCha to save until your next turn.<br>","Upgrade 15: Increase Secondary Hit damage to 5W+Dex<br>Upgrade 25: Increase Secondary Hit damage to 7W+Dex",NA
rog_da_stnblw,Stunning Blow,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon, Reliable",NA,NA,Melee,targets an enemy granting Advantage to you,Dex vs For,NA,"2W+Dex, and Stunned (save ends)",NA,NA,NA,NA,"Upgrade 15: Increase  Hit damage to 3W+Dex<br>Upgrade 25: Increase  Hit damage to 5W+Dex",NA
rog_da_opnwnd,Open Wounds,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon, Reliable",NA,NA,Melee or Ranged,NA,Dex vs Arm,NA,"3W, and Dex Ongoing damage (save ends). When the target moves, the target cannot save against this effect that turn.",NA,NA,NA,NA,"Upgrade 15: Increase  Hit damage to 5W<br>Upgrade 25: Increase Hit damage to 7W",NA
rog_ut_tumble,Tumble,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,Shift your Speed.,"Special: When you spend an Action Point, recharge this.",NA,NA,NA
rog_ut_runtcv,Run to Cover,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,"Move your Speed. At the end of turn, if you are in Cover (other than Body Cover) or Concealment from all enemies, you become Shrouded. If you were already Shrouded, you become Hidden instead.",NA,NA,NA,NA
rog_ut_indoit,I didn't do it!,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Melee,targets an enemy you  have hit this turn.,NA,NA,NA,NA,"Until end of your next turn, the target is Taunted by your ally closest to it, and grants Advantage to you.",NA,NA,NA,NA
pri_fe_heawrd,Healing Word,Feature,NA,Utility,Encounter,x2,"Healing, Non-Provoking",Minor Action,NA,Ranged 5,targets an ally,NA,NA,NA,NA,"The target spends a Surge, and heals +1d6",NA,NA,"Level 11: heals +2d6<br>Level 21: heals +3d6",Heal surge+1d6
pri_aw_healgt,Healing Light,NA,1,Attack,NA,NA,"Implement, Divine",NA,NA,Ranged 6,NA,Wis vs Ref,NA,"1d8 Radiant, and you or an ally within 2 of you heal Wis",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8,NA
pri_aw_gudlgt,Guiding Light,NA,1,Attack,NA,NA,"Implement, Divine",NA,NA,Ranged 6,NA,Wis vs Ref,NA,"1d8+Wis Radiant, and until your next turn, attacks against the target gain Advantage and halve hit penalties from Cover and Concealment.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Wis,NA
pri_aw_lckstk,Lucky Strike,NA,1,Attack,NA,NA,"Implement, Lightning",NA,NA,Ranged 6,NA,Wis vs Ref,NA,"1d8+Wis Lightning",NA,"Attacks against the target have Advantage until end of your next turn.",NA,NA,Level 21: Increase Hit damage to 2d8+Wis,NA
pri_aw_shichc,Shield of Chance,NA,1,Attack,NA,NA,"Implement, Divine",NA,NA,Ranged 6,NA,Wis vs Arm,NA,"1d6+Wis",NA,"Choose a random ally without Shield Points. That ally gains Cha Shield Points",NA,NA,Level 21: Increase Hit damage to 2d6+Wis,NA
pri_aw_armfor,Armor of Fortune,NA,1,Attack,NA,NA,"Weapon, Divine",NA,NA,Melee,NA,Wis vs Arm,NA,"W+Wis. Choose a random ally. You and that ally gain +2 Arm until end of your next turn.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Wis,NA
pri_en_dzlbst,Dazzling Burst,NA,1,Attack,Encounter,NA,"Implement, Divine",NA,NA,Area 6 Burst 2,targets enemies ,Wis vs Wil,NA,"1d8 Radiant, and Dazzled until your next turn.",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 2d8<br>Upgrade 23: Increase Hit damage to 2d8",NA
pri_en_rstbea,Restoring Beam,NA,1,Attack,Encounter,NA,"Implement, Divine",NA,NA,Close Line 8,targets enemies,Wis vs Ref,NA,1d8+Wis Radiant.,NA,"If you hit one or more targets, allies in the line heal Wis and can make a save.",NA,NA,"Upgrade 13: Increase  Hit damage to 2d8<br>Upgrade 23: Increase Hit damage to 3d8",NA
pri_en_blilgt,Blinding Light,NA,1,Attack,Encounter,NA,"Implement, Divine",NA,NA,Ranged 6,NA,Wis vs Ref,NA,"2d8+Cha Radiant, and Blind (save ends).",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 3d8+Wis<br>Upgrade 23: Increase Hit damage to 4d8+Wis",NA
pri_da_pacify,Pacify,NA,1,Attack,Daily,NA,"Implement, Reliable",NA,NA,Ranged 6,NA,Wis + Cha vs Wil,NA,"The target is Weak (save ends). When the target attacks, the target cannot save against this effect that turn. ",NA,NA,Special: This attack misses automatically if the target is over 90 HP.,NA,"Upgrade 15: Miss automatically if target is over 180 HP<br>Upgrade 25: Miss automatically if target is over 270 HP",NA
pri_da_cnsgrn,Consecrated Ground,NA,1,Attack,Daily,NA,"Implement, Zone",NA,NA,Close Burst 2,NA,NA,NA,NA,NA,"Until end of next turn, create Zone in burst. While in the zone, you and your allies gain Regeneration equal to your Charisma.",Sustain Minor: The zone persists until end of your next turn. Make a Secondary Attack targeting enemies in the zone.,"Wis vs For, Hit: 1d8 Radiant.","Upgrade 15: Increase Secondary Hit damage to 2d8<br>Upgrade 25: Increase Secondary Hit damage to 3d8",NA
pri_da_herois,Heroism,NA,1,Attack,Daily,NA,"Implement, Divine",NA,NA,Melee,targets an ally,NA,NA,NA,NA,"2d12+Wis Shield Points.<br>Until end of the encounter, +Cha to Hit and +Cha to Action Point Rolls",NA,NA,"Upgrade 15: 4d12+Wis Shield Points<br>Upgrade 25: 6d12+Wis Shield Points",NA
pri_ut_sanctr,Sanctuary,NA,2,Utility,Encounter,NA,Non-Provoking,NA,NA,Ranged 7,targets you and an ally,NA,NA,NA,NA,Resist All until end of your next turn.  This effect ends when the target attacks.,NA,NA,NA,NA
pri_ut_savgra,Saving Grace,NA,2,Utility,Encounter,NA,Non-Provoking,NA,NA,Ranged 7,targets you or an ally,NA,NA,NA,NA,"Choose one - the target rolls a save, or you lose a Surge and choose a Condition, and the target rolls a save to ignore that Condition until next turn.",NA,NA,NA,NA
pri_ut_bless,Bless,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Close Burst 5,targets you and allies,NA,NA,NA,NA,"Until end of the encounter, +1 to Hit and +1 to Save.",NA,NA,NA,NA
bar_fe_ragstk,Rage Strike,Feature,1,Attack,Encounter,NA,Non-Fatiguing,NA,NA,Melee,NA,Str vs Arm,NA,3W+Str.,Half Damage,NA,Special: Use only while raging.,NA,"Rage Level 15: Increase Hit damage to 5W+Str<br>Rage Level 25: Increase Hit damage to 7W+Str",NA
bar_aw_invstk,Invigorating Strike,NA,1,Attack,NA,NA,"Weapon, Primal",NA,NA,Melee,NA,Str vs Arm,NA,"W+Str, and you gain Con Shield Points. If you already had Shield Points, deal +Con extra damage.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,NA
bar_aw_mgtshv,Mighty Shove,NA,1,Attack,NA,NA,"Weapon, Primal",NA,NA,Melee,NA,Str vs Arm,NA,"W+Str. Push 2, and you move 2 to a square closer to the target.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,NA
bar_en_allin,All-In,NA,1,Attack,Encounter,NA,"Weapon, Primal",NA,NA,Melee,NA,Str vs Arm,NA,3W+Str.,You are knocked prone.,You gain Lesser Vulnerable All until next turn.,NA,NA,"Upgrade 13: Increase  Hit damage to 5W+Str<br>Upgrade 23: Increase Hit damage to 6W+Str",NA
bar_en_nopain,No Pain,NA,1,Attack,Encounter,NA,"Weapon, Primal",NA,NA,Melee,NA,Str vs Arm,NA,2W+Str. You may lose a Surge and gain Shield Points equal to your Surge Value.,NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 3W+Str<br>Upgrade 23: Increase Hit damage to 4W+Str",NA
bar_en_bldwhr,Blade Whirlwind,NA,1,Attack,Encounter,NA,"Weapon, Primal",NA,NA,Close Burst 1,NA,Str vs Ref,NA,"W+Con, and Push 1",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 2W+Con<br>Upgrade 23: Increase Hit damage to 3W+Con",NA
bar_da_cwdrag,Crowd Rage,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, you cannot be flanked and, when you hit an enemy, you can deal Con damage to up to 2 other enemies adjacent to you.",NA,NA,NA,NA
bar_da_bldrag,Blood Rage,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, you gain Lesser Resist All while Bloodied, and Bloodied enemies gain Lesser Vulnerable All against your attacks.",NA,NA,NA,NA
bar_da_stbrag,Stubborn Rage,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Roll a save to ignore a Condition this turn. Until end of the encounter, at the start of each turn you roll a save to ignore a Condition that turn.",NA,NA,NA,NA
bar_ut_btlvig,Battle Vigor,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Gain Con Shield Points or, if you are Bloodied, gain 2xCon Shield Points.",NA,NA,NA,NA
bar_ut_brkfre,Break Free,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Roll a save to end any of the following Conditions on you: Slowed, Immobilized, Restrained, Grabbed, Prone, Taunted.",NA,NA,NA,NA
bar_ut_chlacc,Challenge Accepted,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Melee,targets an enemy Taunting you or that has Bloodied you this encounter,NA,NA,NA,NA,"Until end of next turn, you gain Advantage and +Con Crit Range against the target.",NA,NA,NA,NA
wld_fe_heal,Invigorating Word,Feature,1,Utility,Encounter,x2,"Healing, Non-Provoking",Minor Action,NA,Ranged 5,targets an ally that can hear you,NA,NA,NA,NA,"The target spends a Surge, and heals +1d6",NA,NA,"Level 11: heals +2d6<br>Level 21: heals +3d6",NA
wld_aw_hirthr,Hit right here!,NA,1,Attack,NA,NA,"Weapon, Martial",NA,NA,Melee,NA,Str vs Ref,NA,Int,NA,An ally adjacent to the target makes a melee basic attack against it.,NA,NA,NA,NA
wld_aw_abttlf,A bit to the left!,NA,1,Attack,NA,NA,"Weapon, Martial",NA,NA,Melee,NA,Str vs Arm,"Before or after the attack, an ally within 2 squares of the target shifts 1.",W+Str,NA,NA,NA,NA,NA,NA
wld_en_12pnch,One-two punch,NA,1,Attack,Encounter,NA,"Weapon, Martial",NA,NA,Melee,targets a flanked enemy,Str vs Arm,NA,W,NA,An ally flanking the target makes a melee basic attack againt it with +Int Crit Range,NA,NA,NA,NA
wld_en_sndarm,Sunder Armor,NA,1,Attack,Encounter,NA,"Weapon, Martial",NA,NA,Melee,NA,Str vs Arm,NA,"2W+Str, and -Int Arm until end of your next turn",NA,NA,NA,NA,NA,NA
wld_en_allyrs,All yours!,NA,1,Attack,Encounter,NA,"Weapon, Martial",NA,NA,Melee,NA,Str vs Arm,NA,"2W+Str, Push 1. Choose an ally adjacent to the target. Until end of your next turn, the target is Taunted by that ally, and the target provokes an attack of opportunity from that ally if it shifts or violates a Taunt.",NA,NA,NA,NA,NA,NA
wld_en_pileon,Pile On!,NA,1,Attack,Daily,NA,"Weapon, Martial",Reliable,NA,Melee,targets a bloodied enemy,Str vs Arm,NA,"W+Str, and up to two allies adjacent to the target make a melee basic attack against it.",NA,NA,NA,NA,NA,NA
wld_da_fllwme,Follow Me!,NA,1,Attack,Daily,NA,"Weapon, Martial",NA,NA,Melee,targets an enemy you can charge.,NA,"Charge the target. Up to two allies that can see and hear you charge the target, ignoring opportunity attacks for the charge, and dealing half damage with the charge attack.",NA,NA,NA,NA,NA,NA,NA
wld_da_tmfrac,Time for Action!,NA,1,Attack,Daily,NA,"Weapon, Martial",NA,NA,Melee,NA,Str vs Arm,NA,2W+Str,Half Damage,"Until your next turn, your allies can reroll failed Action Point Rolls. The first time an ally makes an attack with an Action Point before your next turn, that ally gains +Int Crit Range and +Int Damage for the attack.",NA,NA,NA,NA
wld_ut_moveit,Move It!,NA,2,Utility,Encounter,NA,Non-Provoking,Move Action,NA,Ranged 5,targets an ally that can hear you,NA,NA,NA,NA,The target stands up if prone. The target moves their speed.,NA,NA,NA,NA
wld_ut_incomn,Incoming!,NA,2,Utility,Encounter,NA,NA,Prepared Reaction (Interrupt),You and one or more allies are targeted by a close or area attack.,No Range,targets the targets of the triggering attack,NA,NA,NA,NA,"Knocked Prone, and gain Resist against the triggering attack.",NA,NA,NA,NA
wld_ut_frgtit,Forget it!,NA,2,Utility,Encounter,NA,Non-Provoking,Minor Action,NA,Ranged 5,targets an ally that can hear you and is adjacent to an enemy,NA,NA,NA,NA,"The target is no longer Taunted, and Shifts 1 away from an adjacent enemy.",NA,NA,NA,NA
wlk_aw_vlodrk,Veil of Darkness,NA,1,Attack,NA,NA,NA,NA,NA,Ranged 10,NA,Cha vs For,NA,"1d10+Cha Necro, and Dazzled until end of your next turn.  ",Treat this attack as a hit for the purposes of applying your Shadow Curse,NA,NA,NA,NA,NA
wlk_aw_unshrr,Unseen Horror,NA,1,Attack,NA,NA,NA,NA,NA,Ranged 10,NA,Cha vs Wil,NA,"1d10 Psychic. Push Dex,  and Slowed until end of your next turn.",Push 1,NA,NA,NA,NA,NA
wlk_en_drkblt,Dark Bolt,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 15,NA,Cha vs For,NA,"2d8+Int Necro, and Blind (save ends)",Dazzled (save ends),NA,NA,NA,NA,NA
wlk_en_hwlagn,Howling Agony,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 10,NA,Cha vs Wil,NA,"2d10+Cha Psychic, and Dazed (save ends). Push Dex all enemies that can see and hear the target.",Half Damage. Push 1 all enemies that can see and hear the target.,NA,NA,NA,NA,NA
wlk_en_soldrn,Soul Drain,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 7,NA,Cha vs For,NA,"2d10+Cha Necro, and knocked prone.",Half Damage,"You heal damage equal to half the damage dealt. If you kill the target with the attack, gain Shield Point equal to half the damage dealt.",NA,NA,NA,NA
wlk_da_solfed,Soul Feed,NA,1,Attack,Daily,NA,NA,NA,NA,Ranged 7,NA,Cha vs For,NA,"3d10+Cha Necro, and Weakened (save ends)",Half Damage,"Regain 1 Surge. If you kill the target with this attack, regain 2 Surges instead.",NA,NA,NA,NA
wlk_da_blkhle,Black Hole,NA,1,Attack,Daily,NA,NA,NA,NA,Ranged 10,NA,Cha vs Ref,NA,3d6+Cha Necro,NA,"Until the end of the encounter, create a zone of Very Difficult and Obscuring Terrain in a Burst 2 centered on the target. Creatures ending their turn in the zone take Cha Necro.",NA,NA,NA,NA
wlk_da_shwfnd,Shadowfiend,NA,1,Attack,Daily,NA,Summon,Minor Action,NA,NA,NA,NA,NA,NA,NA," - Note: summons benefit from Curse<br>- +2 Def<br>- Shadow Aura - Aura 2: Enemies in aura grant Advantage and can�t gain Advantage.<br>- Standard Command - Ch vs Ref, 2d8+Ch, and Dazed UEONT<br>- Reaction Command (enemy provokes OA from hound) - Make Standard Command attack against target.<br>- Move Command - Teleport 2",NA,NA,NA,NA
wlk_ut_drkptl,Dark Portal,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,Teleport 2+Dex. Gain Concealment until next turn.,NA,NA,NA,NA
wlk_ut_crsyou,A Curse Upon You,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Ranged 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
