feature_id,Name,Description
rog_duel_cun,Duelist's Cunning,"Add your Intelligence to your Reaction Modifier.<br>While wielding two weapons, you gain a +Intelligence bonus to Arm against melee attacks."
rog_duel_duel,Duel,"Gain the Duel power (Minor Action, 1/encounter, Taunt adjacent enemy until end of encounter).<br>When attacking enemies Taunted by you, you can use Sneak Attack as if you attacked with Advantage"
rog_swash_wpn,Swashbuckler's Weapon,"You treat the following weapons as Light Weapons: Light Blades, Hand Crossbow."
rog_swash_stp,Swashbuckler's Step,"When you Shift, you can have that movement count as Climbing or as a Long Jump.<br>When you use the Shift Maneuver, you Shift your Charisma (instead of Shift 1)."
rog_swash_grn,High Ground,"When you use the Drop Maneuver, you reduce the falling distance by your Charisma (instead of by 1). If you fall adjacent to an enemy, you gain Advantage against that enemy this turn.<br>Gain Advantage on melee attacks against enemies on squares at a lower height than your space."
pri_heal,Healing Word,Gain the Healing Word power.
pri_train,Priest Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and knowledge checks (Arcana, Lore) related to Gods, Divine power and the undead.
- Heal the sick or wounded (Nature, Concentration)"
pri_light_fhl,Faith Healing,"When you use a Healing power, add Cha to the Surge Value of any character healing a Surge.<br>When you heal a character to full health, that character gains Cha Shield Points."
pri_shi,Shield of the Gods,"You and allies within 5 squares gain Resist (Crit Damage). When you or an ally within 5 squares is critically hit by an enemy, they roll a save - on a success, the attacking enemy is knocked Prone."
pri_rit,Ritual Training,You gain Ritual Training as a bonus Adventure Feat.
pri_luck_bls,Fortune's Blessing,"At the start of each of your turns, randomly choose an ally that has not benefited from Fortune's Blessing on your previous turn. That ally gains +1 to Hit, Save, and all defenses until your next turn."
bar_train,Barbarian Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and knowledge checks (Perception, Lore) related to tribal organization
- Break doors, chests, objects (Athletics)
- Find food and shelter in the wilderness (Endurance)"
bar_rager_svg,Savage Attack,Your attacks deal +Constitution damage.
bar_rager_res,Raging Resilience,You add your Constitution to your Surge Value.
bar_rager_chr,Barbarian Charge,"You do not become Hindered due to charging.<br>When you charge an enemy within 4 or more squares, you gain Advantage, and you can use a Barbarian melee attack instead of a melee Basic attack."
bar_bsk_inn,Inner Peace,"Inner Peace: While not in Berserker Fury, gain the following bonuses:
+3 Arm, -1 Hit and -1 Crit Range
You have Defender’s Aura.
Enemies ignoring your Taunt provoke opportunity attacks from you."
bar_bsk_fury,Berserker Fury,"When you become Bloodied or use a Barbarian Primal attack power, you enter Berserker Fury until the end of the encounter. You may roll a save to avoid entering this state. While in Berserker Fury, you lose Inner Peace and gain +Con damage bonus on your melee attacks."
bar_bsk_focus,Berserker Focus,"+1 Hit vs enemies Taunting you. At the start of your turn, if you are in Berserker Fury and not Taunted, you choose a random enemy closest to you. You are Taunted by that enemy until the end of the encounter."
wld_heal,Inspiring Word,Gain the Inspiring Word power.
wld_tac_adv,Tactical Advice,Allies that can see or hear you gain+Int Initiative.
wld_tac_act,Tactical Action,Allies that can see or hear you gain +Int hit with Action Point attacks.
wlk_contr,Controller Power,"Gain an additional Warlock Daily Attack power, of a level equal to the level of your lowest Warlock Daily Attack power slot.<br>You can use an additional Daily Attack power per encounter (but no more than one per turn). +1 to Recharge rolls for your Warlock daily powers."
wlk_shadow_crs,Shadow Curse,"Once per turn, when you target an enemy with an attack, the enemy is afflicted with your Shadow Curse until the end of the encounter. Enemies under the Shadow Curse treat you as having Concealment or, if you already have Concealment, as having Total Concealment."
wlk_shadow_pct,Shadow Pact,"Once per round, when an enemy under your Shadow Curse is reduced to 0 HP, the enemy's space becomes a zone of Difficult Terrain for your enemies until the end of the encounter. Enemies ending their turns in the zone or adjacent to it take Dex Shadow damage."
rng_train,Ranger Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and knowledge checks (Nature) related to natural and magical beasts.
- Track enemies (Perception, Nature) and avoid enemy tracking (Stealth)
- Hunting (Nature)"
rng_bstcom,Beast Companion,You gain a Beast Companion that fights alongside you. See the Beast Companion section for detailed rules and companion options.
rng_bststk,Beast Strike,You gain the Beast Strike power.
rng_bstrec,Beast Recovery,"Whenever you heal a surge, your companion heals a surge for free. When you take a Short, Long or Extended Rest, your companion heals to full HP."
rng_ohstk,Off-Hand Strike,You gain the Off-Hand Strike power.
rng_rngmst,Ranged Master,You gain +Wis damage with Ranged and Area attacks.
rng_prmsht,Prime Shot,"On ranged attacks against an enemy closest to you, if the target is not adjacent to you, gain +1 Hit, +1 Crit Range."
rng_skmmst,Master Skirmisher,"You gain +Wis damage with Weapon attacks."
rng_runmom,Runner's Momentum,"While in combat, at the end of each turn, if you are 3 or more squares away from your initial position, you gain +1 to Hit and Defenses until end of next turn. If this bonus was already active, it increases to +2."
rng_skmeva,Skirmisher's evasion,"You gain the Skirmisher's Evasion power."
dru_train,Druid Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and knowledge checks (Nature) related to Plants, Primal powers and spirits"
pal_train,Paladin Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and Lore checks related to nobility and knighthood.
- Riding (Concentration) and taming mounts (Nature)
- Identify evil and deception (Perception)"
brd_train,Bard Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and knowledge checks (Arcana, Lore) related to art, legends
- Create works of art and perform (Concentration)"
wld_train,Warlord Training,"Reduce by 1 the DC of the following Skill Checks:
- Social checks (Authority, Diplomacy) and Lore checks related to the military, teamwork activities.
- Teach and train others (Concentration)"
ori_human_act,Human of Action,"When you take a Full Rest, gain an additional Action Point.<br>+1 to Action Point Checks.<br>Gain Advantage on attacks made with an Action Point."
ori_human_rec,Human Recovery,"When using Second Wind, you can roll a save to avoid spending a Vitality point. Gain +3 Surge Value (increase to +6 at level 11, +12 at level 21)."
ori_human_skl,Human Skill,Gain Skill Training as a bonus feat.
ori_dwarf_stb,Dwarven Stubbornness,"Reduce enemy Forced Movement against you by 1.<br>When you are knocked Prone, you can roll a save to avoid the Prone condition.<br>Ignore any Armor Speed Penalty."
ori_dwarf_res,Dwarven Resilience,You can use Second Wind as a Move Action.
ori_dwarf_res,Dwarven Gut,Partial Resist (Poison)
ori_elf_stp,Elven Step,"Each turn, you can ignore 1 square of extra movement cost due to Difficult Terrain."
ori_elf_acc,Elven Accuracy,Gain the Elven Accuracy power.
ori_halfl_nmb,Halfling Nimbleness,Resist(Opportunity Attacks).
ori_halfl_ddg,Halfling Dodge,Gain the Halfling Dodge power.
ori_halfl_res,Halfling Innocence,Partial Resist(Psychic)
ori_elf_bty,Elvish Beauty,Enemies you haven't attacked on your last turn gain -1 Hit against you.
ori_elf_chr,Elvish Charm,Gain the Elvish Charm power.
ori_gnome_cau,Gnome Cautiousness,"-3 Initiative<br>On Initiative roll, Invisible until end of first round or until attack."
ori_gnome_trk,Gnomish Trick,Gain the Gnomish Trick power.
ori_orc_tgh,Orc Toughness,"Gain +3 HP (increase to +6 at level 11, +12 at level 21)."
ori_orc_sms,Orc Smash,Gain the Orc Smash power.
ori_dragonf_scl,Dragon Scales,"Resist (Missed Attacks), Resist (Fall Damage)."
ori_dragf_brh,Dragon Breath,Gain the Dragon Breath power.
ori_dvl_bldbd,Diabolic Bond,"While Bloodied, gain +1 Hit vs Bloodied enemies and Bloodied enemies gain -1 Hit against you."
ori_dvl_resis,Diabolic Resistance,Partial Resist (Fire)
ori_dvl_fshld,Diabolic Shield,Gain the Diabolic Shield power.
ori_gob_mob,Goblin Mob,Gain Cover while adjacent to a flanked enemy.
ori_gob_sld,Goblin Pull,Gain the Goblin Slide power
ori_min_chr,Minotaur Charge,"Not Hindered when charging. After hitting or missing with a Charge attack, the target grants Advantage until enf of your next turn."
ori_min_red,See Red,Gain the See Red power.
ori_gol_big,Long Limbs,"Gain Melee Reach 2 and +2 Range on ranged attacks."
ori_gol_res,Goliath Resistance,Gain the Goliath Resistance Power.
ori_kbl_mob,Mob Attack,"Gain +1 Hit vs enemies adjacent to an ally, and -1 Hit vs enemies not adjacent to an ally."
ori_kbl_shf,Shifty,Gain the Shifty Kobold Power.
