Name,Class,Build,isFeature,Level,Type,UsageLimit,UsageNumber,Keywords,Action,Trigger,Range,Target,AttackRoll,EffectPre,Hit,Miss,EffectPost,Misc,SecondaryAttack,Upgrades,Summary
Comeback Strike,Fighter,Guardian,NA,1,Attack,Daily,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,2W+Str.,Half Damage,Spend a surge and double the amount healed. ,NA,NA,"Upgrade 15: Increase Hit damage to 3W+Str
Upgrade 25: Increase Hit damage to 4W+Str",Heal yourself
Blade Dance,Fighter,Guardian,NA,1,Attack,Daily,NA,"Weapon, Stance",NA,NA,Personal,NA,NA,NA,NA,NA,"Use Total Defense. Stance: At the start of your turn, deal 1(W) and Slide 1 to one adjacent enemy.",NA,NA,"Upgrade 15: Effect Deal 1W and Slide 1 to each adjacent enemy.
Upgrade 25: Deal 2W and Slide 1 to each adjacent enemy.","All encounter, damage adjacent enemies"
Shield Wall,Fighter,Guardian,NA,2,Utility,Encounter,NA,Shield,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until your next turn, you gain Cover against enemy attacks and cannot be flanked.",NA,NA,NA,"Gain Cover, can't be flanked"
Grit,Fighter,Guardian,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Roll a save to ignore one Combat Condition this turn. On a failed save, lose 1 Surge.",NA,NA,NA,Save against condition
Find Opening,Fighter,Guardian,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Melee,NA,NA,NA,NA,NA,"Until end of your next turn, your attacks against the target gain Advantage and Pierce Resist",NA,NA,NA,Gain Advantage
Arcane Missiles,Wizard,Elementalist,NA,1,Attack,NA,NA,Implement,NA,NA,Ranged 7,targets up to 3 enemies,Int vs Ref,NA,"1d10, and Push 1",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d10,Low damage and push to 3 targets
Frost Bolt,Wizard,Elementalist,NA,1,Attack,NA,NA,Implement,NA,NA,Ranged 10,NA,Int vs For,NA,"1d8+Int Cold, and Slowed (save ends)",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Int,NA
Lesser Fireball,Wizard,Elementalist,NA,1,Attack,NA,NA,Implement,NA,NA,Area 10 Burst 1,NA,Int vs Ref,NA,1d8+Int Fire,NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Int,NA
Burning Hands,Wizard,Elementalist,NA,1,Attack,Encounter,NA,Implement,NA,NA,Close Blast 5,NA,Int vs Ref,NA,2d10+Int Fire,Half Damage,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3d10+Int
Upgrade 23: Increase Hit damage to 4d10+Int",NA
Ice Beam,Wizard,Elementalist,NA,1,Attack,Encounter,NA,Implement,NA,NA,Close Line 10,NA,Int vs For,NA,"1d12 Cold, and Immobilized until your next turn.",Slowed until your next turn.,NA,NA,NA,"Upgrade 13: Increase Hit damage to 2d12
Upgrade 23: Increase Hit damage to 3d12",NA
Shock Sphere,Wizard,Elementalist,NA,1,Attack,Encounter,NA,Implement,NA,NA,Area 10 Burst 2,NA,Int vs Ref,NA,"2d6 Lightning, and Dazed until end of your next turn.",Cannot use Reactions until end of your next turn.,NA,NA,NA,"Upgrade 13: Increase Hit damage to 4d6
Upgrade 23: Increase Hit damage to 6d6",NA
Fireball,Wizard,Elementalist,NA,1,Attack,Daily,NA,Implement,NA,NA,Area 20 Burst 3,NA,Int vs Ref,NA,3d8+Int Fire,Half Damage,NA,NA,NA,"Upgrade 15: Increase Hit damage to 5d8+Int
Upgrade 25: Increase Hit damage to 7d8+Int",NA
Ice Storm,Wizard,Elementalist,NA,1,Attack,Daily,NA,Implement,NA,NA,Area 10 Burst 2,NA,Int vs For,NA,"2d6 Cold, and Prone",Half Damage,Create a Zone of Difficult Terrain in burst until end of your next turn.,Sustain Minor: Int Cold to creatures in the zone. You can move the zone 1 square. Sustain the zone until end of your next turn.,NA,"Upgrade 15: Increase Hit damage to 4d6
Upgrade 25: Increase Hit damage to 6d6",NA
Crushing Fist,Wizard,Elementalist,NA,1,Attack,Daily,NA,Implement,NA,NA,Ranged 20,NA,Int vs Ref,NA,"3d6, and Grabbed until end of next turn.",NA,NA,Sustain Minor: Repeat the attack,NA,"Upgrade 15: Increase Hit damage to 6d6,
Upgrade 25: Increase Hit damage to 9d6",NA
Arcane Shield,Wizard,Elementalist,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,Gain Superior Cover against the next attack that targets you this encounter.,NA,NA,NA,NA
Wall of Ice,Wizard,Elementalist,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Area 10 Wall 8,NA,NA,NA,NA,NA,Create a Zone of Very Difficult Terrain and Covering Terrain in the wall until the end of the encounter. You can dismiss the Zone as a Minor Action.,NA,NA,NA,NA
Levitate,Wizard,Elementalist,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, gain Fly Speed 2 (Altitude 2).",NA,NA,NA,NA
Piercing Strike,Rogue,Scoundrel,NA,1,Attack,NA,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex+2 vs Ref,NA,1W+Dex,NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Dex,NA
Setup Strike,Rogue,Scoundrel,NA,1,Attack,NA,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs AC,NA,1W+Dex,NA,"Until end of your next turn, your attacks against the target have Advantage or, if you already have Advantage, deal +Cha extra damage.",NA,NA,Level 21: Increase Hit damage to 2W+Dex,NA
King's Castle,Rogue,Scoundrel,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Wil,"Before or after the attack, choose an adjacent creature. You and that creature Slide to switch places.",2W+Dex,NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex
Upgrade 23: Increase Hit damage to 4W+Dex",NA
Expose Weakness,Rogue,Scoundrel,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs AC,"Until end of your next turn, your attacks against the target have Advantage or, if you already have Advantage, gain +Cha Crit Range.","2W+Dex. Dex and, if you have Advantage, Dazed until end of your next turn.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex
Upgrade 23: Increase Hit damage to 4W+Dex",NA
Stay Down,Rogue,Scoundrel,NA,1,Attack,Encounter,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs AC,NA,"2W+Dex, and Prone. If you have Advantage, provokes Opportunity Attacks when standing up next turn.",NA,NA,NA,NA,"Upgrade 13: Increase Hit damage to 3W+Dex
Upgrade 23: Increase Hit damage to 4W+Dex",NA
Blinding Trick,Rogue,Scoundrel,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon",NA,NA,Melee or Ranged,NA,Dex vs Ref,NA,Blinded (save ends),Miss: Grants Advantage (save ends),Make a Secondary Attack against the target.,NA,"Dex vs AC
Hit: 3W+Dex, and -2xCha to save until your next turn.
","Upgrade 15: Increase Secondary Hit damage to 5W+Dex
Upgrade 25: Increase Secondary Hit damage to 7W+Dex",NA
Stunning Blow,Rogue,Scoundrel,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon, Reliable",NA,NA,Melee,targets an enemy granting Advantage to you,Dex vs For,NA,"2W+Dex, and Stunned (save ends)",NA,NA,NA,NA,"Upgrade 15: Increase  Hit damage to 3W+Dex
Upgrade 25: Increase  Hit damage to 5W+Dex",NA
Open Wounds,Rogue,Scoundrel,NA,1,Attack,Daily,NA,"Weapon, Light  Weapon, Reliable",NA,NA,Melee or Ranged,NA,Dex vs AC,NA,"3W, and Dex Ongoing damage (save ends). When the target moves, the target cannot save against this effect that turn.",NA,NA,NA,NA,"Upgrade 15: Increase  Hit damage to 5W
Upgrade 25: Increase Hit damage to 7W",NA
Tumble,Rogue,Scoundrel,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,Shift your Speed.,"Special: When you spend an Action Point, recharge this.",NA,NA,NA
Run to Cover,Rogue,Scoundrel,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,"Move your Speed. At the end of turn, if you are in Cover (other than Body Cover) or Concealment from all enemies, you become Shrouded. If you were already Shrouded, you become Hidden instead.",NA,NA,NA,NA
I didn't do it!,Rogue,Scoundrel,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Melee,targets an enemy you  have hit this turn.,NA,NA,NA,NA,"Until end of your next turn, the target is Marked by your ally closest to it, and grants Advantage to you.",NA,NA,NA,NA
Healing Word,Priest,Light,Feature,NA,Utility,Encounter,x2,"Healing, Non-Provoking",Minor Action,NA,Ranged 5,targets an ally,NA,NA,NA,NA,"The target spends a Surge, and heals +1d6",NA,NA,"Level 11: heals +2d6
Level 21: heals +3d6",Heal surge+1d6
Healing Light,Priest,Light,NA,1,Attack,NA,NA,Implement,NA,NA,Ranged 7,NA,Wis vs Ref,NA,"1d8 Radiant, and you or an ally within 2 of you heal Wis",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8,NA
Guiding Light,Priest,Light,NA,1,Attack,NA,NA,Implement,NA,NA,Ranged 7,NA,Wis vs Ref,NA,"1d8+Wis Radiant, and until your next turn, attacks against the target gain Advantage and halve hit penalties from Cover and Concealment.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2d8+Wis,NA
Dazzling Burst,Priest,Light,NA,1,Attack,Encounter,NA,Implement,NA,NA,Area 7 Burst 2,targets enemies ,Wis vs Wil,NA,"1d8 Radiant, and Dazzled until your next turn.",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 2d8
Upgrade 23: Increase Hit damage to 2d8",NA
Restoring Beam,Priest,Light,NA,1,Attack,Encounter,NA,Implement,NA,NA,Close Line 7,targets enemies,Wis vs Ref,NA,1d8+Wis Radiant.,NA,"If you hit one or more targets, allies in the line heal Wis and can make a save.",NA,NA,"Upgrade 13: Increase  Hit damage to 2d8
Upgrade 23: Increase Hit damage to 3d8",NA
Blinding Light,Priest,Light,NA,1,Attack,Encounter,NA,Implement,NA,NA,Ranged 5,NA,Wis vs Ref,NA,"2d8+Cha Radiant, and Blind (save ends).",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 3d8+Wis
Upgrade 23: Increase Hit damage to 4d8+Wis",NA
Pacify,Priest,Light,NA,1,Attack,Daily,NA,"Implement, Reliable",NA,NA,Ranged 7,NA,Wis + Cha vs Wil,NA,"The target is Weak (save ends). When the target attacks, the target cannot save against this effect that turn. ",NA,NA,Special: This attack misses automatically if the target is over 90 HP.,NA,"Upgrade 15: Miss automatically if target is over 180 HP
Upgrade 25: Miss automatically if target is over 270 HP",NA
Consecrated Ground,Priest,Light,NA,1,Attack,Daily,NA,"Implement, Zone",NA,NA,Close Burst 2,NA,NA,NA,NA,NA,"Until end of next turn, create Zone in burst. While in the zone, you and your allies gain Regeneration equal to your Charisma.",Sustain Minor: The zone persists until end of your next turn. Make a Secondary Attack targeting enemies in the zone.,"Wis vs For, Hit: 1d8 Radiant.","Upgrade 15: Increase Secondary Hit damage to 2d8
Upgrade 25: Increase Secondary Hit damage to 3d8",NA
Heroism,Priest,Light,NA,1,Attack,Daily,NA,Implement,NA,NA,Melee,targets an ally,NA,NA,NA,NA,"2d12+Wis Shield Points.
Until end of the encounter, +Cha to Hit and +Cha to Action Point Rolls",NA,NA,"Upgrade 15: 4d12+Wis Shield Points
Upgrade 25: 6d12+Wis Shield Points",NA
Sanctuary,Priest,Light,NA,2,Utility,Encounter,NA,Non-Provoking,NA,NA,Ranged 7,targets you and an ally,NA,NA,NA,NA,Resist All until end of your next turn.  This effect ends when the target attacks.,NA,NA,NA,NA
Saving Grace,Priest,Light,NA,2,Utility,Encounter,NA,Non-Provoking,NA,NA,Ranged 7,targets you or an ally,NA,NA,NA,NA,"Choose one - the target rolls a save, or you lose a Surge and choose a Condition, and the target rolls a save to ignore that Condition until next turn.",NA,NA,NA,NA
Bless,Priest,Light,NA,2,Utility,Daily,NA,NA,Minor Action,NA,Close Burst 5,targets you and allies,NA,NA,NA,NA,"Until end of the encounter, +1 to Hit and +1 to Save.",NA,NA,NA,NA
Rage Strike,Barbarian,Rager,Feature,1,Attack,Encounter,NA,Non-Fatiguing,NA,NA,Melee,NA,Str vs AC,NA,3W+Str.,Half Damage,NA,Special: Use only while raging.,NA,"Rage Level 15: Increase Hit damage to 5W+Str
Rage Level 25: Increase Hit damage to 7W+Str",NA
Invigorating Strike,Barbarian,Rager,NA,1,Attack,NA,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,"W+Str, and you gain Con Shield Points. If you already had Shield Points, deal +Con extra damage.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,NA
Mighty Shove,Barbarian,Rager,NA,1,Attack,NA,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,"W+Str. Push 2, and you move 2 to a square closer to the target.",NA,NA,NA,NA,Level 21: Increase Hit damage to 2W+Str.,NA
All-In,Barbarian,Rager,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,3W+Str.,You are knocked prone.,You gain Lesser Vulnerable All until next turn.,NA,NA,"Upgrade 13: Increase  Hit damage to 5W+Str
Upgrade 23: Increase Hit damage to 6W+Str",NA
No Pain,Barbarian,Rager,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,2W+Str. You may lose a Surge and gain Shield Points equal to your Surge Value.,NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 3W+Str
Upgrade 23: Increase Hit damage to 4W+Str",NA
Blade Whirlwind,Barbarian,Rager,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Close Burst 1,NA,Str vs Ref,NA,"W+Con, and Push 1",NA,NA,NA,NA,"Upgrade 13: Increase  Hit damage to 2W+Con
Upgrade 23: Increase Hit damage to 3W+Con",NA
Crowd Rage,Barbarian,Rager,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, you cannot be flanked and, when you hit an enemy, you can deal Con damage to up to 2 other enemies adjacent to you.",NA,NA,NA,NA
Blood Rage,Barbarian,Rager,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Until end of the encounter, you gain Lesser Resist All while Bloodied, and Bloodied enemies gain Lesser Vulnerable All against your attacks.",NA,NA,NA,NA
Stubborn Rage,Barbarian,Rager,NA,1,Attack,Daily,NA,Rage,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Roll a save to ignore a Condition this turn. Until end of the encounter, at the start of each turn you roll a save to ignore a Condition that turn.",NA,NA,NA,NA
Battle Vigor,Barbarian,Rager,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Gain Con Shield Points or, if you are Bloodied, gain 2xCon Shield Points.",NA,NA,NA,NA
Break Free,Barbarian,Rager,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Personal,NA,NA,NA,NA,NA,"Roll a save to end any of the following Conditions on you: Slowed, Immobilized, Restrained, Grabbed, Prone, Marked.",NA,NA,NA,NA
Challenge Accepted,Barbarian,Rager,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Melee,targets an enemy Marking you or that has Bloodied you this encounter,NA,NA,NA,NA,"Until end of next turn, you gain Advantage and +Con Crit Range against the target.",NA,NA,NA,NA
Hit right here!,Warlord,Tactician,NA,1,Attack,NA,NA,Weapon,NA,NA,Melee,NA,Str vs Ref,NA,Int,NA,An ally adjacent to the target makes a melee basic attack against it.,NA,NA,NA,NA
A bit to the left!,Warlord,Tactician,NA,1,Attack,NA,NA,Weapon,NA,NA,Melee,NA,Str vs AC,"Before or after the attack, an ally within 2 squares of the target shifts 1.",W+Str,NA,NA,NA,NA,NA,NA
One-two punch,Warlord,Tactician,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,targets a flanked enemy,Str vs AC,NA,W,NA,An ally flanking the target makes a melee basic attack againt it with +Int Crit Range,NA,NA,NA,NA
Sunder Armor,Warlord,Tactician,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,"2W+Str, and -Int AC until end of your next turn",NA,NA,NA,NA,NA,NA
All yours!,Warlord,Tactician,NA,1,Attack,Encounter,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,"2W+Str, Push 1. Choose an ally adjacent to the target. Until end of your next turn, the target is marked by that ally, and the target provokes an attack of opportunity from that ally if it shifts or violates a mark.",NA,NA,NA,NA,NA,NA
Pile On!,Warlord,Tactician,NA,1,Attack,Daily,NA,Weapon,Reliable,NA,Melee,targets a bloodied enemy,Str vs AC,NA,"W+Str, and up to two allies adjacent to the target make a melee basic attack against it.",NA,NA,NA,NA,NA,NA
Follow Me!,Warlord,Tactician,NA,1,Attack,Daily,NA,Weapon,NA,NA,Melee,targets an enemy you can charge.,NA,"Charge the target. Up to two allies that can see and hear you charge the target, ignoring opportunity attacks for the charge, and dealing half damage with the charge attack.",NA,NA,NA,NA,NA,NA,NA
Time for Action!,Warlord,Tactician,NA,1,Attack,Daily,NA,Weapon,NA,NA,Melee,NA,Str vs AC,NA,2W+Str,Half Damage,"Until your next turn, your allies can reroll failed Action Point Rolls. The first time an ally makes an attack with an Action Point before your next turn, that ally gains +Int Crit Range and +Int Damage for the attack.",NA,NA,NA,NA
Move It!,Warlord,Tactician,NA,2,Utility,Encounter,NA,Non-Provoking,Move Action,NA,Ranged 5,targets an ally that can hear you,NA,NA,NA,NA,The target stands up if prone. The target moves their speed.,NA,NA,NA,NA
Incoming!,Warlord,Tactician,NA,2,Utility,Encounter,NA,NA,Prepared Reaction (Interrupt),You and one or more allies are targeted by a close or area attack.,No Range,targets the targets of the triggering attack,NA,NA,NA,NA,"Knocked Prone, and gain Resist against the triggering attack.",NA,NA,NA,NA
Forget it!,Warlord,Tactician,NA,2,Utility,Encounter,NA,Non-Provoking,Minor Action,NA,Ranged 5,targets an ally that can hear you and is adjacent to an enemy,NA,NA,NA,NA,"The target is no longer Marked, and Shifts 1 away from an adjacent enemy.",NA,NA,NA,NA
Invigorating Word,Warlord,Tactician,Feature,1,Utility,Encounter,x2,"Healing, Non-Provoking",Minor Action,NA,Ranged 5,targets an ally that can hear you,NA,NA,NA,NA,"The target spends a Surge, and heals +1d6",NA,NA,"Level 11: heals +2d6
Level 21: heals +3d6",NA
Veil of Darkness,Warlock,Shadow,NA,1,Attack,NA,NA,NA,NA,NA,Ranged 10,NA,Cha vs For,NA,"1d10+Cha Necro, and Dazzled until end of your next turn.  ",Treat this attack as a hit for the purposes of applying your Shadow Curse,NA,NA,NA,NA,NA
Unseen Horror,Warlock,Shadow,NA,1,Attack,NA,NA,NA,NA,NA,Ranged 10,NA,Cha vs Wil,NA,"1d10 Psychic. Push Dex,  and Slowed until end of your next turn.",Push 1,NA,NA,NA,NA,NA
Dark Bolt,Warlock,Shadow,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 15,NA,Cha vs For,NA,"2d8+Int Necro, and Blind (save ends)",Dazzled (save ends),NA,NA,NA,NA,NA
Howling Agony,Warlock,Shadow,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 10,NA,Cha vs Wil,NA,"2d10+Cha Psychic, and Dazed (save ends). Push Dex all enemies that can see and hear the target.",Half Damage. Push 1 all enemies that can see and hear the target.,NA,NA,NA,NA,NA
Soul Drain,Warlock,Shadow,NA,1,Attack,Encounter,NA,NA,NA,NA,Ranged 7,NA,Cha vs For,NA,"2d10+Cha Necro, and knocked prone.",Half Damage,"You heal damage equal to half the damage dealt. If you kill the target with the attack, gain Shield Point equal to half the damage dealt.",NA,NA,NA,NA
Soul Feed,Warlock,Shadow,NA,1,Attack,Daily,NA,NA,NA,NA,Ranged 7,NA,Cha vs For,NA,"3d10+Cha Necro, and Weakened (save ends)",Half Damage,"Regain 1 Surge. If you kill the target with this attack, regain 2 Surges instead.",NA,NA,NA,NA
Black Hole,Warlock,Shadow,NA,1,Attack,Daily,NA,NA,NA,NA,Ranged 10,NA,Cha vs Ref,NA,3d6+Cha Necro,NA,"Until the end of the encounter, create a zone of Very Difficult and Obscuring Terrain in a Burst 2 centered on the target. Creatures ending their turn in the zone take Cha Necro.",NA,NA,NA,NA
Shadowfiend,Warlock,Shadow,NA,1,Attack,Daily,NA,Summon,Minor Action,NA,NA,NA,NA,NA,NA,NA," - Note: summons benefit from Curse
- +2 Def
- Shadow Aura - Aura 2: Enemies in aura grant Advantage and can�t gain Advantage.
- Standard Command - Ch vs Ref, 2d8+Ch, and Dazed UEONT
- Reaction Command (enemy provokes OA from hound) - Make Standard Command attack against target.
- Move Command - Teleport 2",NA,NA,NA,NA
Dark Portal,Warlock,Shadow,NA,2,Utility,Encounter,NA,NA,Move Action,NA,Personal,NA,NA,NA,NA,NA,Teleport 2+Dex. Gain Concealment until next turn.,NA,NA,NA,NA
A Curse Upon You,Warlock,Shadow,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Ranged 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Treacherous Shadows,Warlock,Shadow,NA,2,Utility,Encounter,NA,NA,Minor Action,NA,Ranged 10,targets  any number of cursed enemies,NA,NA,NA,NA,"Create a zone of Shadows in a square adjacent to the target until next turn. When the target takes a provoking action while adjacent to the zone, the target takes 2xDex Necro damage",NA,NA,NA,NA
