Level,Summary,Features,Encounter Attacks,Daily Attacks,Utilities,Combat Feat,Adventure Feat,Ability Damage Modifier,Damage Die Increase,Damage Die Multiplier,HP-Low,HP-Medium,HP-High
12,"Gain Paragon Path Level 12 Utility
Gain Level 12 Adventure Feat",NA,"1, 3, 7, pp11","1, 5, 9","2, 6, 10, pp12","1, 4, 8, 11","2, 6, 10, 12",NA,Increased die,x1,48,60,72
13,Upgrade: Level 1 Encounter Attack to Level 13,NA,"3, 7, 13, pp11","1, 5, 9","2, 6, 10, pp12","1, 4, 8, 11","2, 6, 10, 12",NA,Increased die,x1,52,65,78
14,"Gain Level 14 Combat Feat
Upgrade Ability Damage Modifier: x2.5 to x3",NA,"3, 7, 13, pp11","1, 5, 9","2, 6, 10, pp12","1, 4, 8, 11, 14","2, 6, 10, 12",x3,Increased die,x1,56,70,84
15,Upgrade: Level 1 Daily Attack to Level 15,NA,"3, 7, 13, pp11","5, 9, 15","2, 6, 10, pp12","1, 4, 8, 11, 14","2, 6, 10, 12",NA,Increased die,x1,60,75,90
16,"Gain Paragon Path Level 16 Feature
Gain Level 16 Utility
Gain Level 16 Adventure Feat
Damage die: Normal die, x2 damage (from Increased die, x1 damage)",Paragon Path Feature 16,"3, 7, 13, pp11","5, 9, 15","6, 10, 16, pp12","1, 4, 8, 11, 14","2, 6, 10, 12, 16",NA,Normal die,x2,64,80,96
17,Upgrade: Level 3 Encounter Attack to Level 17,NA,"7, 13, 17, pp11","5, 9, 15","6, 10, 16, pp12","1, 4, 8, 11, 14","2, 6, 10, 12, 16",x3.5,Normal die,x2,68,85,102
18,Gain Level 18 Combat Feat,NA,"7, 13, 17, pp11","5, 9, 15","6, 10, 16, pp12","1, 4, 8, 11, 14, 18","2, 6, 10, 12, 16",NA,Normal die,x2,72,90,108
19,"Upgrade: Level 5 Daily Attack to Level 19
Upgrade Ability Damage Modifier: x3.5 to x4",NA,"7, 13, 17, pp11","9, 15, 19","6, 10, 16, pp12","1, 4, 8, 11, 14, 18","2, 6, 10, 12, 16",x4,Normal die,x2,76,95,114
20,"Gain Paragon Path Level 20 Daily Attack
Gain Level 20 Adventure Feat",NA,"7, 13, 17, pp11","9, 15, 19, pp20","6, 10, 16, pp12","1, 4, 8, 11, 14, 18","2, 6, 10, 12, 16, 20",NA,Normal die,x2,80,100,120
21,"Choose Epic Destiny
Gain Epic Destiny Level 21 Feature
Gain Level 21 Combat Feat
Upgrade Ability Damage Modifier: x4 to x4.5",Epic Destiny Feature 21,"7, 13, 17, pp11","9, 15, 19, pp20","6, 10, 16, pp12","1, 4, 8, 11, 14, 18, 21","2, 6, 10, 12, 16, 20",x4.5,Normal die,x2,88,110,132
22,"Gain Level 22 Utility
Gain Level 22 Adventure Feat",NA,"7, 13, 17, pp11","9, 15, 19, pp20","10, 16, 22, pp12","1, 4, 8, 11, 14, 18, 21","2, 6, 10, 12, 16, 20, 22",NA,Normal die,x2,96,120,144
23,Upgrade: Level 7 Encounter Attack to Level 23,NA,"13, 17, 23, pp11","9, 15, 19, pp20","10, 16, 22, pp12","1, 4, 8, 11, 14, 18, 21","2, 6, 10, 12, 16, 20, 22",NA,Normal die,x2,104,130,156
24,"Gain Epic Destiny Level 24 Feature 
Gain Level 24 Combat Feat
Upgrade Ability Damage Modifier: x4.5 to x5",Epic Destiny Feature 24,"13, 17, 23, pp11","9, 15, 19, pp20","10, 16, 22, pp12","1, 4, 8, 11, 14, 18, 21, 24","2, 6, 10, 12, 16, 20, 22",x5,Normal die,x2,112,140,168
25,Upgrade: Level 9 Daily Attack to Level 25,NA,"13, 17, 23, pp11","15, 19, 25, pp20","10, 16, 22, pp12","1, 4, 8, 11, 14, 18, 21, 24","2, 6, 10, 12, 16, 20, 22",NA,Normal die,x2,120,150,180
26,"Gain Epic Destiny Level 26 Utility 
Gain Level 26 Adventure Feat
Upgrade Damage die: Increased die, x2 damage (from Normal die, x2 damage)",NA,"13, 17, 23, pp11","15, 19, 25, pp20","10, 16, 22, pp12, ed26","1, 4, 8, 11, 14, 18, 21, 24","2, 6, 10, 12, 16, 20, 22, 26",NA,Increased die,x2,128,160,192
27,"Upgrade: Level 13 Encounter Attack to Level 27
Upgrade Ability Damage Modifier: x5 to x5.5",NA,"17, 23, 27, pp11","15, 19, 25, pp20","10, 16, 22, pp12, ed26","1, 4, 8, 11, 14, 18, 21, 24","2, 6, 10, 12, 16, 20, 22, 26",x5.5,Increased die,x2,136,170,204
28,Gain Level 28 Combat Feat,NA,"17, 23, 27, pp11","15, 19, 25, pp20","10, 16, 22, pp12, ed26","1, 4, 8, 11, 14, 18, 21, 24, 28","2, 6, 10, 12, 16, 20, 22, 26",NA,Increased die,x2,144,180,216
29,"Upgrade: Level 15 Daily Attack to Level 29
Upgrade Ability Damage Modifier: x5.5 to x6",NA,"17, 23, 27, pp11","19, 25, 29, pp20","10, 16, 22, pp12, ed26","1, 4, 8, 11, 14, 18, 21, 24, 28","2, 6, 10, 12, 16, 20, 22, 26",x6,Increased die,x2,152,190,228
30,"Gain Epic Destiny Level 30 Feature
Gain Level 30 Adventure Feat",Epic Destiny Feature 30,"17, 23, 27, pp11","19, 25, 29, pp20","10, 16, 22, pp12, ed26","1, 4, 8, 11, 14, 18, 21, 24, 28","2, 6, 10, 12, 16, 20, 22, 26, 30",NA,Increased die,x2,160,200,240
